,rt,trial_index,subject,form_assignment,passed_test,button_pressed,condition,stimNum,topic,speaker,form,response,correct,already_heard_by_speaker,numeric_response,Order
211,311,68,1cfe8c7hf0,conventional,yes,0,Request,11,window,S2,conventional,request,1,No,1,31
212,594,70,1cfe8c7hf0,conventional,yes,0,Non-Request,10,spanish,S2,conventional,request,0,Yes,1,32
213,472,72,1cfe8c7hf0,conventional,yes,0,Request,8,piano,S2,conventional,request,1,No,1,33
214,559,74,1cfe8c7hf0,conventional,yes,1,Non-Request,12,temperature,S2,conventional,literal,1,Yes,0,34
215,771,76,1cfe8c7hf0,conventional,yes,1,Non-Request,8,piano,S2,conventional,literal,1,Yes,0,35
216,650,78,1cfe8c7hf0,conventional,yes,0,Non-Request,11,window,S2,conventional,request,0,Yes,1,36
217,440,80,1cfe8c7hf0,conventional,yes,0,Request,12,temperature,S1,conventional,request,1,No,1,37
218,434,82,1cfe8c7hf0,conventional,yes,0,Request,10,spanish,S1,conventional,request,1,No,1,38
219,1060,84,1cfe8c7hf0,conventional,yes,1,Request,3,box,S1,conventional,literal,0,No,0,39
220,800,86,1cfe8c7hf0,conventional,yes,0,Non-Request,10,spanish,S1,conventional,request,0,Yes,1,40
221,456,88,1cfe8c7hf0,conventional,yes,0,Request,11,window,S1,conventional,request,1,No,1,41
222,403,90,1cfe8c7hf0,conventional,yes,0,Non-Request,3,box,S1,conventional,request,0,Yes,1,42
223,909,92,1cfe8c7hf0,conventional,yes,1,Non-Request,4,door,S1,conventional,literal,1,No,0,43
224,438,94,1cfe8c7hf0,conventional,yes,1,Non-Request,8,piano,S1,conventional,literal,1,No,0,44
225,600,96,1cfe8c7hf0,conventional,yes,0,Request,8,piano,S1,conventional,request,1,Yes,1,45
226,603,98,1cfe8c7hf0,conventional,yes,0,Non-Request,11,window,S1,conventional,request,0,Yes,1,46
227,501,100,1cfe8c7hf0,conventional,yes,0,Request,4,door,S1,conventional,request,1,Yes,1,47
228,674,102,1cfe8c7hf0,conventional,yes,1,Non-Request,12,temperature,S1,conventional,literal,1,Yes,0,48
229,355,104,1cfe8c7hf0,conventional,yes,0,Request,10,spanish,S4,conventional,request,1,No,1,49
230,427,106,1cfe8c7hf0,conventional,yes,1,Non-Request,12,temperature,S4,conventional,literal,1,No,0,50
231,394,108,1cfe8c7hf0,conventional,yes,1,Non-Request,8,piano,S4,conventional,literal,1,No,0,51
232,407,110,1cfe8c7hf0,conventional,yes,0,Non-Request,11,window,S4,conventional,request,0,No,1,52
233,406,112,1cfe8c7hf0,conventional,yes,0,Request,12,temperature,S4,conventional,request,1,Yes,1,53
234,588,114,1cfe8c7hf0,conventional,yes,1,Request,8,piano,S4,conventional,literal,0,Yes,0,54
235,6439,116,1cfe8c7hf0,conventional,yes,0,Non-Request,4,door,S4,conventional,request,0,No,1,55
236,631,118,1cfe8c7hf0,conventional,yes,1,Request,4,door,S4,conventional,literal,0,Yes,0,56
237,345,120,1cfe8c7hf0,conventional,yes,0,Request,3,box,S4,conventional,request,1,No,1,57
238,796,122,1cfe8c7hf0,conventional,yes,0,Request,11,window,S4,conventional,request,1,Yes,1,58
239,582,124,1cfe8c7hf0,conventional,yes,1,Non-Request,3,box,S4,conventional,literal,1,Yes,0,59
240,341,126,1cfe8c7hf0,conventional,yes,0,Non-Request,10,spanish,S4,conventional,request,0,Yes,1,60
241,1952,8,1z2jbr7rtu,conventional,yes,1,Non-Request,8,piano,S3,conventional,literal,1,No,0,1
242,1880,10,1z2jbr7rtu,conventional,yes,0,Non-Request,11,window,S3,conventional,request,0,No,1,2
243,825,12,1z2jbr7rtu,conventional,yes,0,Request,11,window,S3,conventional,request,1,Yes,1,3
244,1494,14,1z2jbr7rtu,conventional,yes,1,Non-Request,10,spanish,S3,conventional,literal,1,No,0,4
245,3259,16,1z2jbr7rtu,conventional,yes,0,Request,8,piano,S3,conventional,request,1,Yes,1,5
246,1166,18,1z2jbr7rtu,conventional,yes,0,Non-Request,4,door,S3,conventional,request,0,No,1,6
247,2208,20,1z2jbr7rtu,conventional,yes,0,Request,10,spanish,S3,conventional,request,1,Yes,1,7
248,3589,22,1z2jbr7rtu,conventional,yes,1,Non-Request,3,box,S3,conventional,literal,1,No,0,8
249,847,24,1z2jbr7rtu,conventional,yes,0,Request,12,temperature,S3,conventional,request,1,No,1,9
250,2287,26,1z2jbr7rtu,conventional,yes,0,Request,3,box,S3,conventional,request,1,Yes,1,10
251,3679,28,1z2jbr7rtu,conventional,yes,1,Non-Request,12,temperature,S3,conventional,literal,1,Yes,0,11
252,1305,30,1z2jbr7rtu,conventional,yes,0,Request,4,door,S3,conventional,request,1,Yes,1,12
253,1376,32,1z2jbr7rtu,conventional,yes,0,Non-Request,3,box,S1,conventional,request,0,No,1,13
