,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,passed_test,stimulus,type,button_pressed,answer,stimNum,topic,speaker,form,response,correct,Gender,Native_Speaker,Music_Ability,Age,Mobile
68,9764,survey-multi-choice,68,642522,0.0-13.0,13725,group1,yes,,demographic1,,,,,,,,0,Male,Yes,4,31,No
69,2977,survey-text,69,645504,0.0-14.0,13725,group1,yes,,age,,,,,,,,0,Male,Yes,4,31,No
70,7032,survey-text,70,652538,0.0-15.0,13725,group1,yes,,,,,,,,,,0,Male,Yes,4,31,No
71,10084,instructions,0,10084,0.0-0.0,14172,group3,yes,,,,,,,,,,0,Male,Yes,4,21,No
72,6451,external-html,1,16794,0.0-1.0,14172,group3,yes,,,,,,,,,,0,Male,Yes,4,21,No
73,3557,instructions,2,20351,0.0-2.0,14172,group3,yes,,,,,,,,,,0,Male,Yes,4,21,No
74,,video,3,28995,0.0-3.0,14172,group3,yes,"[""prosody_paired_samples/audio_calibration.mp4""]",calibration,,,,,,,,0,Male,Yes,4,21,No
75,37348,instructions,4,66343,0.0-4.0,14172,group3,yes,,,,,,,,,,0,Male,Yes,4,21,No
76,6607,audio-button-response,5,72951,0.0-5.0,14172,group3,yes,prosody_paired_samples/ears_audio_check.wav,test,2,,,,,,,0,Male,Yes,4,21,No
77,25861,instructions,6,100154,0.0-6.0-0.0,14172,group3,yes,,,,,,,,,,0,Male,Yes,4,21,No
78,10660,audio-button-response,7,110815,0.0-7.0-0.0,14172,group3,yes,prosody_paired_samples/DannyK/IR_literal_car.wav,,0,first,1,car,Danny,indirect,first,1,Male,Yes,4,21,No
79,9999,audio-button-response,8,120814,0.0-7.0-1.0,14172,group3,yes,prosody_paired_samples/DannyK/literal_IR_window.wav,,1,second,11,window,Danny,modal,second,1,Male,Yes,4,21,No
80,6005,audio-button-response,9,126820,0.0-7.0-2.0,14172,group3,yes,prosody_paired_samples/DannyK/literal_IR_Spanish.wav,,0,second,10,spanish,Danny,modal,first,0,Male,Yes,4,21,No
81,6058,audio-button-response,10,132879,0.0-7.0-3.0,14172,group3,yes,prosody_paired_samples/DannyK/IR_literal_temp.wav,,0,first,12,temperature,Danny,modal,first,1,Male,Yes,4,21,No
82,5947,audio-button-response,11,138827,0.0-7.0-4.0,14172,group3,yes,prosody_paired_samples/DannyK/IR_literal_door.wav,,0,first,4,door,Danny,modal,first,1,Male,Yes,4,21,No
83,7296,audio-button-response,12,146124,0.0-7.0-5.0,14172,group3,yes,prosody_paired_samples/DannyK/IR_literal_soup.wav,,0,first,9,soup,Danny,indirect,first,1,Male,Yes,4,21,No
84,5947,audio-button-response,13,152071,0.0-7.0-6.0,14172,group3,yes,prosody_paired_samples/DannyK/literal_IR_laptop.wav,,0,second,5,laptop,Danny,indirect,first,0,Male,Yes,4,21,No
85,5697,audio-button-response,14,157768,0.0-7.0-7.0,14172,group3,yes,prosody_paired_samples/DannyK/literal_IR_piano.wav,,1,second,8,piano,Danny,modal,second,1,Male,Yes,4,21,No
86,7035,audio-button-response,15,164803,0.0-7.0-8.0,14172,group3,yes,prosody_paired_samples/DannyK/IR_literal_back.wav,,0,first,2,back,Danny,indirect,first,1,Male,Yes,4,21,No
87,5951,audio-button-response,16,170754,0.0-7.0-9.0,14172,group3,yes,prosody_paired_samples/DannyK/literal_IR_office.wav,,0,second,6,office,Danny,indirect,first,0,Male,Yes,4,21,No
88,5564,audio-button-response,17,176319,0.0-7.0-10.0,14172,group3,yes,prosody_paired_samples/DannyK/literal_IR_phone.wav,,0,second,7,phone,Danny,indirect,first,0,Male,Yes,4,21,No
89,5500,audio-button-response,18,181819,0.0-7.0-11.0,14172,group3,yes,prosody_paired_samples/DannyK/IR_literal_box.wav,,0,first,3,box,Danny,modal,first,1,Male,Yes,4,21,No
90,9026,audio-button-response,19,190845,0.0-8.0-0.0,14172,group3,yes,prosody_paired_samples/KatieS/Literal_IR_laptop.wav,,1,second,5,laptop,Katie,indirect,second,1,Male,Yes,4,21,No
